Rank,Feature,IDF_Score
1,pugazh,9.003229315149744
2,goku,8.66675707852853
3,takumi,8.533225685904007
4,clouseau,8.415442650247623
5,sundeep,8.415442650247623
6,rangan,8.310082134589798
7,amir,8.310082134589798
8,ravana,8.310082134589798
9,alfie,8.127760577795843
10,ana,8.127760577795843
11,anandan,8.047717870122307
12,sanjana,8.047717870122307
13,jamal,8.047717870122307
14,chandram,8.047717870122307
15,heera,7.973609897968585
16,whitey,7.973609897968585
17,dom,7.973609897968585
18,van helsing,7.904617026481634
19,jekyll,7.904617026481634
20,abhi,7.904617026481634
21,godzilla,7.904617026481634
22,sakthi,7.840078505344063
23,heidi,7.840078505344063
24,helsing,7.840078505344063
25,vasanth,7.840078505344063
26,ramudu,7.840078505344063
27,chandu,7.840078505344063
28,nobita,7.840078505344063
29,doraemon,7.779453883527627
30,damien,7.779453883527627
31,conan,7.722295469687679
32,ludwig,7.722295469687679
33,yamuna,7.722295469687679
34,jonas,7.722295469687679
35,jody,7.722295469687679
36,nell,7.668228248417403
37,renu,7.668228248417403
38,bridget,7.668228248417403
39,durai,7.668228248417403
40,daphne,7.668228248417403
41,kingsley,7.668228248417403
42,shelby,7.616934954029853
43,nandu,7.616934954029853
44,sadie,7.616934954029853
45,caleb,7.616934954029853
46,becky,7.568144789860421
47,manickam,7.568144789860421
48,ava,7.568144789860421
49,aadhi,7.568144789860421
50,hubert,7.568144789860421
